PH_ID	IRGSP_best_BLAST_hit	description
PH01000004G4100	Os01t0853400-01	OsFBL4 - F-box domain and LRR containing protein, expressed
PH01000004G4410	Os04t0234600-03	fructose-1,6-bisphosphatase, putative, expressed
PH01000004G4460	Os02t0749900-01	mTERF family protein, expressed
PH01000004G4470	Os01t0852200-03	transporter, major facilitator family, putative, expressed
PH01000005G0010	Os11t0581700-01	allergen-related, putative
PH01000005G0050	Os11t0581900-01	transmembrane BAX inhibitor motif-containing protein, putative, expressed
PH01000005G0150	Os11t0582300-02	SEY1, putative, expressed
PH01000005G0850	Os11t0572700-00	amine oxidase, flavin-containing, domain containing protein, expressed
PH01000005G0960	Os03t0788800-01	zinc finger, C3HC4 type domain containing protein, expressed
PH01000005G0970	Os11t0572400-01	sialyltransferase family domain containing protein, expressed
PH01000005G1020	Os11t0572100-02	RFC1 - Putative clamp loader of PCNA, replication factor C subunit 1, expressed
PH01000005G1030	Os11t0571900-01	lymphoid organ expressed yellow head virus receptor protein, putative, expressed
PH01000005G1170	Os11t0568600-01	THUMP domain-containing protein, putative, expressed
PH01000005G1180	Os11t0568500-01	prefoldin subunit, putative, expressed
PH01000005G1190	Os04t0606000-01	transferase family protein, putative, expressed
PH01000005G1200	Os11t0162000-01	transferase family protein, putative, expressed
PH01000005G1210	Os11t0568300-01	protein binding protein, putative, expressed
PH01000005G1220	Os02t0795300-02	expressed_protein
PH01000005G1230	Os01t0104000-01	TKL_IRAK_C-LEC.1 - TKL_IRAK_C-LEC has homology to C-type lectin receptors, expressed
PH01000005G1260	Os11t0564900-00	expressed_protein
PH01000005G1300	Os11t0558300-01	AMP-binding enzyme, putative, expressed
PH01000005G1320	Os11t0558300-01	AMP-binding enzyme, putative, expressed
PH01000005G1420	Os11t0557700-01	methyltransferase, putative, expressed
PH01000005G1450	Os11t0557300-01	BSD domain-containing protein, putative, expressed
PH01000005G1460	Os03t0232400-00	BSD domain-containing protein, putative, expressed
PH01000005G1500	Os11t0552600-01	kinesin motor domain containing protein, putative, expressed
PH01000005G1530	Os11t0552500-00	expressed_protein
PH01000005G1580	Os11t0552100-01	expressed_protein
PH01000005G1660	Os12t0484900-01	growth regulating factor protein, putative, expressed
PH01000005G1770	Os11t0551350-01	expressed_protein
PH01000005G1790	Os11t0550900-01	expressed_protein
PH01000005G1800	Os11t0550800-01	plastid-specific 50S ribosomal protein 6, chloroplast precursor, putative, expressed
PH01000005G1820	Os11t0549900-01	expressed_protein
PH01000005G1830	Os11t0549700-01	palmitoyltransferase TIP1, putative, expressed
PH01000005G1850	Os11t0549650-00	MMP37-like protein, mitochondrial precursor, putative
PH01000005G1950	Os11t0549620-01	Ser/Thr protein phosphatase family protein, putative, expressed
PH01000005G2010	Os11t0546300-01	phospholipase, patatin family, putative, expressed
PH01000005G2020	Os04t0527500-01	phospholipase, patatin family, putative, expressed
PH01000005G2030	Os11t0546100-01	lung seven transmembrane domain containing protein, putative, expressed
PH01000005G2110	Os11t0546000-02	ATP-binding cassette sub-family E member 1, putative, expressed
PH01000005G2160	Os11t0545700-01	centromere/kinetochore protein zw10, putative, expressed
PH01000005G2200	Os11t0544800-01	aspartyl/glutamyl-tRNA amidotransferase subunit B, putative, expressed
PH01000005G2210	Os11t0544700-01	histone-like transcription factor and archaeal histone, putative, expressed
PH01000005G2240	Os11t0544600-01	expressed_protein
PH01000005G2310	Os05t0589200-01	RNA polymerase sigma factor, putative, expressed
PH01000005G2340	Os05t0589000-02	expressed_protein
PH01000005G2360	Os01t0605100-01	mitochondrial chaperone BCS1, putative, expressed
PH01000005G2470	Os05t0588300-01	inactive receptor kinase At2g26730 precursor, putative, expressed
PH01000005G2480	Os01t0607900-01	inactive receptor kinase At2g26730 precursor, putative, expressed
PH01000005G2540	Os07t0418100-02	inactive receptor kinase At2g26730 precursor, putative, expressed
PH01000005G2550	Os01t0904400-01	chromosome segregation protein, putative, expressed
PH01000005G2560	Os02t0133400-00	RecF/RecN/SMC N terminal domain containing protein, expressed
PH01000005G2580	Os01t0614300-01	leaf senescence related protein, putative, expressed
PH01000005G2590	Os05t0587400-01	expressed_protein
PH01000005G2820	Os05t0587100-01	protein phosphatase 2C, putative, expressed
PH01000005G2870	Os05t0587000-01	polygalacturonase, putative, expressed
PH01000005G2880	Os05t0586900-01	pentatricopeptide repeat protein PPR986-12, putative, expressed
PH01000005G2890	Os05t0586600-01	RNA polymerase sigma factor, putative, expressed
PH01000005G2900	Os01t0621200-00	transmembrane amino acid transporter protein, putative, expressed
PH01000005G2970	Os05t0586400-01	extra-large G-protein-related, putative, expressed
PH01000005G3030	Os05t0586200-01	OsGH3.5 - Probable indole-3-acetic acid-amido synthetase, expressed
PH01000005G3110	Os05t0585900-01	mitochondrial carrier protein, putative, expressed
PH01000005G3140	Os12t0279000-01	superkiller viralicidic activity 2-like 2, putative, expressed
PH01000005G3210	Os01t0621900-03	expressed_protein
PH01000005G3220	Os05t0585500-01	CAMK_CAMK_like.5 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01000005G3390	Os05t0300700-02	expressed_protein
PH01000005G3400	Os01t0919400-00	expressed_protein
PH01000005G3500	Os09t0133200-02	dehydrogenase/reductase SDR family member 2, putative, expressed
PH01000005G3600	Os09t0133600-01	PAP fibrillin family domain containing protein, expressed
PH01000005G3610	Os09t0135800-02	armadillo/beta-catenin-like repeat family protein, expressed
PH01000005G3620	Os09t0135700-01	tyrosine phosphatase family protein, putative, expressed
PH01000005G3640	Os09t0135400-01	cytoskeletal protein, putative, expressed
PH01000005G3710	Os09t0134500-02	histone-lysine N-methyltransferase, H3 lysine-4 specific ATX1, putative, expressed
PH01000005G3860	Os09t0108400-02	expressed_protein
PH01000005G4060	Os09t0249000-01	kelch repeat protein, putative, expressed
PH01000005G4070	Os09t0248300-01	frigida, putative, expressed
PH01000005G4150	Os09t0248300-01	frigida, putative, expressed
PH01000006G0210	Os12t0501700-00	OsMADS20 - MADS-box family gene with MIKCc type-box, expressed
PH01000006G0350	Os07t0599201-00	OsMADS20 - MADS-box family gene with MIKCc type-box, expressed
PH01000006G0380	Os12t0502100-01	expressed_protein
PH01000006G0390	Os12t0502200-01	glycine-rich RNA-binding protein 7, putative, expressed
PH01000006G0400	Os12t0502300-01	cyclin, putative, expressed
PH01000006G0430	Os12t0502500-01	nitrilase, putative, expressed
PH01000006G0450	Os12t0502700-01	ZOS12-05 - C2H2 zinc finger protein, expressed
PH01000006G0460	Os12t0502800-02	ureide permease, putative, expressed
PH01000006G0610	Os12t0506400-01	cornichon protein, putative, expressed
PH01000006G0660	Os12t0506500-01	expressed_protein
PH01000006G0760	Os12t0507200-01	eukaryotic translation initiation factor 5A, putative, expressed
PH01000006G0810	Os12t0507300-00	WRKY DNA-binding domain containing protein, expressed
PH01000006G0880	Os12t0507400-00	expressed_protein
PH01000006G0910	Os12t0507500-00	SWIB/MDM2 domain containing protein, expressed
PH01000006G0920	Os12t0507700-00	expressed_protein
PH01000006G0940	Os11t0173500-01	expressed_protein
PH01000006G0960	Os12t0508200-02	expressed_protein
PH01000006G1010	Os04t0531500-01	receptor like protein kinase, putative, expressed
PH01000006G1030	Os12t0508300-01	40S ribosomal protein S29, putative
PH01000006G1150	Os08t0117900-01	40S ribosomal protein S29, putative
PH01000006G1230	Os06t0150500-01	40S ribosomal protein S29, putative
PH01000006G1420	Os08t0407200-01	peptidase, trypsin-like serine and cysteine proteases, putative, expressed
PH01000006G1440	Os04t0460200-00	peptidase, trypsin-like serine and cysteine proteases, putative, expressed
PH01000006G1450	Os05t0140600-01	peptidase, trypsin-like serine and cysteine proteases, putative, expressed
PH01000006G1570	Os06t0237300-01	OsWLIM1 - LIM domain protein, putative actin-binding protein and transcription factor, expressed
PH01000006G1670	Os12t0511000-01	OsFBX448 - F-box domain containing protein, expressed
PH01000006G2010	Os12t0511300-03	expressed_protein
PH01000006G2340	Os12t0514100-01	membrane protein, putative, expressed
PH01000006G2370	Os03t0196400-01	membrane associated DUF588 domain containing protein, putative, expressed
PH01000006G2390	Os12t0514400-01	potyvirus VPg interacting protein, putative, expressed
PH01000006G2400	Os12t0514400-01	potyvirus VPg interacting protein, putative, expressed
PH01000006G2410	Os12t0514500-01	heat shock protein, putative, expressed
PH01000006G2500	Os02t0690700-01	adaptor complexes medium subunit family protein, expressed
PH01000006G2600	Os12t0514900-01	mitochondrial import inner membrane translocase subunit Tim17, putative, expressed
PH01000006G2790	Os05t0558900-01	phenylalanyl-tRNA synthetase beta chain, putative, expressed
PH01000006G2800	Os12t0515400-01	2-oxoglutarate/malate translocator, chloroplast precursor, putative, expressed
PH01000006G3040	Os12t0515600-01	guanylate kinase, putative, expressed
PH01000006G3200	Os09t0392100-01	lipase, putative, expressed
PH01000006G3240	Os12t0527800-01	protein binding protein, putative, expressed
PH01000006G3340	Os12t0528300-01	adaptor complexes medium subunit family protein, expressed
PH01000006G3360	Os11t0642800-01	glutathione synthetase, chloroplast precursor, putative, expressed
PH01000006G3520	Os12t0529400-01	auxin-binding protein 4 precursor, putative, expressed
PH01000006G3570	Os12t0529900-01	expressed_protein
PH01000006G3600	Os12t0530100-01	peroxidase precursor, putative, expressed
PH01000006G3670	Os12t0533500-01	Fibronectin type III domain containing protein, expressed
PH01000006G3730	Os06t0168500-01	syntaxin, putative, expressed
PH01000007G0830	Os03t0230300-01	ATP8, putative, expressed
PH01000007G0890	Os03t0230500-01	Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed
PH01000007G1150	Os04t0548700-01	homeobox associated leucine zipper, putative, expressed
PH01000007G1340	Os03t0231800-02	squalene monooxygenase, putative, expressed
PH01000007G1470	Os03t0232000-01	OsFBO13 - F-box and other domain containing protein, expressed
PH01000007G1520	Os03t0232200-01	AP2-like ethylene-responsive transcription factor AINTEGUMENTA, putative, expressed
PH01000007G1740	Os03t0232500-01	GTP-binding protein, putative, expressed
PH01000007G1750	Os03t0232600-01	U-box domain containing protein, expressed
PH01000007G1880	Os03t0232800-02	lecithin cholesterol acyltransferase, putative, expressed
PH01000007G1960	Os03t0232900-01	haemolysin-III, putative, expressed
PH01000007G2100	Os03t0233500-01	ariadne-1, putative, expressed
PH01000007G2380	Os03t0225700-01	OsWAK25 - OsWAK receptor-like protein kinase, expressed
PH01000007G2390	Os03t0225600-01	conserved oligomeric complex COG6 family protein, expressed
PH01000007G2400	Os03t0225500-01	nucleoporin, putative, expressed
PH01000007G2410	Os09t0508900-01	mitochondrial carrier protein, putative, expressed
PH01000007G2600	Os03t0225100-02	STE_MEK_ste7_MAP2K.6 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01000007G2620	Os03t0769050-00	STE_MEK_ste7_MAP2K.6 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01000007G2760	Os03t0224300-01	trehalose-6-phosphate synthase, putative, expressed
PH01000007G2860	Os03t0224200-02	two-component response regulator, putative, expressed
PH01000007G2920	Os03t0223900-01	UDP-3-O- N-acetylglucosamine deacetylase, putative, expressed
PH01000007G2970	Os04t0278200-01	UDP-3-O- N-acetylglucosamine deacetylase, putative, expressed
PH01000007G3010	Os06t0305200-01	NUP155, putative, expressed
PH01000007G3080	Os02t0766700-01	bZIP transcription factor, putative, expressed
PH01000007G3150	Os03t0223700-01	HEAT repeat family protein, putative, expressed
PH01000007G3320	Os12t0244100-01	DnaK family protein, putative, expressed
PH01000007G3390	Os03t0223000-02	atypical receptor-like kinase MARK, putative, expressed
PH01000007G3570	Os03t0222800-01	heat shock protein DnaJ, putative, expressed
PH01000007G3590	Os10t0567500-01	type II intron maturase protein, putative, expressed
PH01000007G3600	Os03t0222700-01	heat shock protein DnaJ, putative, expressed
PH01000007G3610	Os03t0222600-01	caleosin related protein, putative, expressed
PH01000007G3680	Os03t0221800-01	leucine-rich repeat family protein, putative, expressed
PH01000008G0200	Os09t0414600-02	ZF-HD protein dimerisation region containing protein, expressed
PH01000008G0420	Os02t0280400-02	CK1_CaseinKinase_1.4 - CK1 includes the casein kinase 1 kinases, expressed
PH01000008G0500	Os08t0437300-00	MYB family transcription factor, putative, expressed
PH01000008G0920	Os08t0436800-01	60S ribosomal protein L34, putative, expressed
PH01000008G1020	Os08t0436200-01	zinc finger, C3HC4 type, putative, expressed
PH01000008G1030	Os08t0436200-01	zinc finger, C3HC4 type, putative, expressed
PH01000008G1080	Os08t0434000-01	pentatricopeptide, putative, expressed
PH01000008G1140	Os08t0434300-01	lactate/malate dehydrogenase, putative, expressed
PH01000008G1310	Os08t0434700-01	myb-like DNA-binding domain containing protein, expressed
PH01000008G1430	Os08t0435700-00	MYB family transcription factor, putative
PH01000008G1440	Os08t0435725-00	MYB family transcription factor, putative
PH01000008G1510	Os08t0435800-01	lipoate protein ligase, putative, expressed
PH01000008G1540	Os08t0436000-01	polypyrimidine tract-binding protein, putative, expressed
PH01000008G1560	Os04t0461000-01	MYB family transcription factor, putative, expressed
PH01000008G2080	Os08t0431500-01	expressed_protein
PH01000008G2090	Os08t0431300-01	2-oxo acid dehydrogenases acyltransferase domain containing protein, expressed
PH01000008G2100	Os08t0431200-00	formin, putative, expressed
PH01000008G2130	Os01t0526200-01	AATF, putative, expressed
PH01000008G2140	Os08t0431100-01	agenet domain containing protein, expressed
PH01000008G2210	Os08t0430700-02	Regulator of chromosome condensation domain containing protein, expressed
PH01000008G2240	Os12t0150200-01	cytochrome P450, putative, expressed
PH01000008G2370	Os08t0430500-02	14-3-3 protein, putative, expressed
PH01000008G2420	Os08t0430100-01	protein kinase PKN/PRK1, effector, putative, expressed
PH01000008G2470	Os08t0430000-01	expressed_protein
PH01000008G2620	Os09t0403000-01	expressed_protein
PH01000008G2640	Os11t0641800-01	expressed_protein
PH01000008G2650	Os11t0657100-01	peptide chain release factor protein, putative, expressed
PH01000008G2700	Os08t0428900-01	1-phosphatidylinositol-4-phosphate 5-kinase/ zinc ion binding protein, putative, expressed
PH01000008G2960	Os08t0428400-01	ZIM motif family protein, expressed
PH01000008G3210	Os08t0427900-01	RNA recognition motif containing protein, putative, expressed
PH01000009G0030	Os01t0812050-00	expressed_protein
PH01000009G0060	Os01t0812000-02	MYB family transcription factor, putative, expressed
PH01000009G0150	Os01t0811400-01	exostosin family domain containing protein, expressed
PH01000009G0160	Os01t0811300-01	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1, putative, expressed
PH01000009G0260	Os01t0812200-01	OsFBX168 - F-box domain containing protein, expressed
PH01000009G0270	Os08t0332700-02	OsFBX168 - F-box domain containing protein, expressed
